年份,甲,名,姓名,省,府,州县,坐标,longitude,latitude
1835,3,121,马德昭,广西,桂林府,全州,"111.073208,25.928987",111.073208,25.928987
1835,3,134,周秉让,广西,思恩府,上林县,"108.604941,23.431956",108.604941,23.431956
1835,3,134,周秉让,广西,思恩府,上林县,"107.338720,23.485020",107.33872,23.48502
1835,3,152,覃肇邦,广西,梧州府,容县,"110.557898,22.857786",110.557898,22.857786
1836,3,33,苏学健,广西,桂林府,义宁县,"110.069655,25.375603",110.069655,25.375603
1836,3,41,朱为霖,广西,桂林府,临桂县,"110.290991,25.274304",110.290991,25.274304
1836,3,50,黄鹏奋,广西,梧州府,容县,"110.557908,22.857796",110.557908,22.857796
1836,3,84,朱懋勋,广西,桂林府,临桂县,"110.291001,25.274314",110.291001,25.274314
1838,3,51,李廷樟,广西,郁林州,陆川县,"110.264051,22.320973",110.264051,22.320973
1838,3,79,梁本檀,广西,南宁府,宣化县,"108.365711,22.817721",108.365711,22.817721
1838,3,84,鄢敏学,广西,柳州府,马平县,"109.410795,24.315468",109.410795,24.315468
1838,3,90,欧阳山,广西,柳州府,马平县,"109.410805,24.315478",109.410805,24.315478
1838,3,105,时大杭,广西,桂林府,灌阳县,"111.160791,25.489402",111.160791,25.489402
1840,2,59,蒋琦淳,广西,桂林府,全州,"111.073218,25.928997",111.073218,25.928997
1840,3,3,钟英,广西,郁林州,北流县,"110.354430,22.708326",110.35443,22.708326
1840,3,46,郑庆崧,广西,桂林府,临桂县,"110.291011,25.274324",110.291011,25.274324
1840,3,89,汤廷诏,广西,庆远府,宜山县,"108.636615,24.485251",108.636615,24.485251
1841,1,1,龙启瑞,广西,桂林府,临桂县,"110.291021,25.274334",110.291021,25.274334
1841,2,24,吴祖昌,广西,浔州府,桂平县,"110.079504,23.394327",110.079504,23.394327
1841,2,83,蒋达,广西,桂林府,灌阳县,"111.160801,25.489412",111.160801,25.489412
1841,3,34,王锡振,广西,柳州府,马平县,"109.410815,24.315488",109.410815,24.315488
1841,3,84,封景岷,广西,梧州府,容县,"110.557918,22.857806",110.557918,22.857806
1844,2,37,邓廷楠,广西,南宁府,新宁州,"107.904226,22.634902",107.904226,22.634902
1844,2,51,郑崇孟,广西,桂林府,临桂县,"110.291031,25.274344",110.291031,25.274344
1844,2,61,王恩祥,广西,桂林府,临桂县,"110.291041,25.274354",110.291041,25.274354
1844,3,32,林芝龄,广西,浔州府,贵县,"109.572270,23.111464",109.57227,23.111464
1844,3,33,施绍文,广西,南宁府,横州,"109.261409,22.680093",109.261409,22.680093
1844,3,58,戴臣法,广西,桂林府,临桂县,"110.291051,25.274364",110.291051,25.274364
1845,2,96,林廷选,广西,浔州府,贵县,"109.572280,23.111474",109.57228,23.111474
